"日期","日期ID","门店编码","门店名称","大区名称","吊牌总额","实际收入","促销折扣额","会员折扣额","综合折扣率","销售件数","订单数","客单价"
"2017年8月1日","20170801","BJ01","花桥店","北京大区","86445.2223","79596.28","4620.638","2228.3043","7.92","7733.429","1079","73.77"
"2017年8月1日","20170801","HD01","广场店","华东大区","71124.14","65459.27","3682.18","1982.69","7.96","5879.343","1023","63.99"
"2017年8月2日","20170802","BJ01","花桥店","北京大区","69483.6085","64027.97","3474.225","1981.4135","7.85","6147.427","988","64.81"
"2017年8月2日","20170802","HD01","广场店","华东大区","63483.8297","58404.6","3213.04","1866.1897","8","5706.659","920","63.48"
"2017年8月3日","20170803","BJ01","花桥店","北京大区","124627.4046","114570.17","7266.638","2790.5966","8.07","9740.385","1049","109.22"
"2017年8月3日","20170803","HD01","广场店","华东大区","81858.1393","75431.34","4899.975","1526.8243","7.85","5983.091","986","76.5"
"2017年8月4日","20170804","BJ01","花桥店","北京大区","78553.7473","73828.05","2610.973","2114.7243","6.02","7642.504","1345","54.89"
"2017年8月4日","20170804","HD01","广场店","华东大区","70952.3006","63718.71","5276.578","1957.0126","10.2","6699.544","1285","49.59"
"2017年8月5日","20170805","BJ01","花桥店","北京大区","47383.9912","44916.38","1328.315","1139.2962","5.21","4763.678","828","54.25"
"2017年8月5日","20170805","HD01","广场店","华东大区","40049.4807","37233.64","1661.57","1154.2707","7.03","3939.24","816","45.63"
"2017年8月6日","20170806","BJ01","花桥店","北京大区","67756.9686","65252.32","1102.345","1402.3036","3.7","7600.927","1045","62.44"
"2017年8月6日","20170806","HD01","广场店","华东大区","56783.1242","52233.34","2951.767","1598.0172","8.01","5839.789","1043","50.08"
"2017年8月7日","20170807","HD01","广场店","华东大区","58869.1445","56704.89","980.963","1183.2915","3.68","5397.757","998","56.82"
"2017年8月7日","20170807","BJ01","花桥店","北京大区","54793.3457","52923.21","667.492","1202.6437","3.41","5462.414","1008","52.5"
"2017年8月8日","20170808","HD01","广场店","华东大区","48082.8326","46852.21","40.885","1189.7376","2.56","5264.062","989","47.37"
"2017年8月8日","20170808","BJ01","花桥店","北京大区","45936.0536","44691.52","112.933","1131.6006","2.71","5040.68","909","49.17"
"2017年8月9日","20170809","BJ01","花桥店","北京大区","48847.3585","47571.3","39.335","1236.7235","2.61","5282.201","987","48.2"
"2017年8月9日","20170809","HD01","广场店","华东大区","46146.012","45016.49","35.412","1094.11","2.45","5001.729","1006","44.75"
"2017年8月10日","20170810","BJ01","花桥店","北京大区","48972.1838","47543.23","130.437","1298.5168","2.92","5561.724","1008","47.17"
"2017年8月10日","20170810","HD01","广场店","华东大区","48381.4221","46969.19","132.896","1279.3361","2.92","5126.588","992","47.35"
"2017年8月11日","20170811","BJ01","花桥店","北京大区","59541.326","57874.19","119.902","1547.234","2.8","6857.879","1132","51.13"
"2017年8月11日","20170811","HD01","广场店","华东大区","52050.1431","50451.58","307.16","1291.4031","3.07","5789.117","1077","46.84"
"2017年8月12日","20170812","BJ01","花桥店","北京大区","27815.1516","26840.99","123.06","851.1016","3.5","3409.578","565","47.51"
"2017年8月12日","20170812","HD01","广场店","华东大区","25620.7731","24854.7","72.89","693.1831","2.99","2830.369","550","45.19"
"2017年8月13日","20170813","HD01","广场店","华东大区","57734.3318","56052.03","256.455","1425.8468","2.91","6875.572","1138","49.25"
"2017年8月13日","20170813","BJ01","花桥店","北京大区","53776.4161","52133.17","304.57","1338.6761","3.06","5748.536","1062","49.09"
"2017年8月14日","20170814","BJ01","花桥店","北京大区","66744.3064","64498.51","532.195","1713.6014","3.36","8094.894","1245","51.81"
"2017年8月14日","20170814","HD01","广场店","华东大区","62388.9376","60437.06","365.82","1586.0576","3.13","7186.227","1205","50.16"
"2017年8月15日","20170815","HD01","广场店","华东大区","68038.161","64058.91","2508.49","1470.761","5.85","5755.756","982","65.23"
"2017年8月15日","20170815","BJ01","花桥店","北京大区","64783.2558","61237.77","2275.465","1270.0208","5.47","5955.93","984","62.23"
"2017年8月16日","20170816","HD01","广场店","华东大区","47064.8662","45814.66","109.045","1141.1612","2.66","5258.023","981","46.7"
"2017年8月16日","20170816","BJ01","花桥店","北京大区","47089.4776","45431.49","512.525","1145.4626","3.52","5317.449","973","46.69"
"2017年8月17日","20170817","HD01","广场店","华东大区","51540.7613","50099.3","140.245","1301.2163","2.8","5231.361","987","50.76"
"2017年8月17日","20170817","BJ01","花桥店","北京大区","46364.3217","44951.93","303.07","1109.3217","3.05","5189.252","953","47.17"
"2017年8月18日","20170818","BJ01","花桥店","北京大区","47640.3823","46093.21","333.505","1213.6673","3.25","4789.125","911","50.6"
"2017年8月18日","20170818","HD01","广场店","华东大区","44706.8679","43279.57","236.895","1190.4029","3.19","5215.165","963","44.94"
"2017年8月19日","20170819","HD01","广场店","华东大区","26367.3857","25541","126.45","699.9357","3.13","2551.102","560","45.61"
"2017年8月19日","20170819","BJ01","花桥店","北京大区","25809.683","24999.29","54.645","755.748","3.14","2513.748","564","44.32"
"2017年8月20日","20170820","BJ01","花桥店","北京大区","58203.4681","56210.57","522.75","1470.1481","3.42","5050.016","997","56.38"
"2017年8月20日","20170820","HD01","广场店","华东大区","47346.8987","45853.22","334.73","1158.9487","3.15","5203.945","978","46.88"
"2017年8月21日","20170821","BJ01","花桥店","北京大区","66136.3436","63755.94","718.9","1661.5036","3.6","6421.507","1238","51.5"
"2017年8月21日","20170821","HD01","广场店","华东大区","63651.0778","61702.82","433.995","1514.2628","3.06","6577.123","1225","50.37"
"2017年8月22日","20170822","BJ01","花桥店","北京大区","52156.7251","50816.44","29.4","1310.8851","2.57","4804.257","877","57.94"
"2017年8月22日","20170822","HD01","广场店","华东大区","41285.9161","40237.92","59.645","988.3511","2.54","3831.025","834","48.25"
"2017年8月23日","20170823","HD01","广场店","华东大区","62640.4371","60725.89","387.2","1527.3471","3.06","5996.646","1131","53.69"
"2017年8月23日","20170823","BJ01","花桥店","北京大区","58022.9702","56410.32","164.32","1448.3302","2.78","5597.381","1118","50.46"
"2017年8月24日","20170824","BJ01","花桥店","北京大区","55065.5042","53667.28","95.98","1302.2442","2.54","4714.508","983","54.6"
"2017年8月24日","20170824","HD01","广场店","华东大区","52967.8587","51629.62","57.645","1280.5937","2.53","4971.335","1028","50.22"
"2017年8月25日","20170825","BJ01","花桥店","北京大区","71818.8231","64460.69","5655.104","1703.0291","10.25","8170.139","1073","60.08"
"2017年8月25日","20170825","HD01","广场店","华东大区","55678.646","53344","1005.995","1328.651","4.19","6539.01","1024","52.09"
"2017年8月26日","20170826","HD01","广场店","华东大区","71258.7583","66742.55","3055.26","1460.9483","6.34","6105.635","1029","64.86"
"2017年8月26日","20170826","BJ01","花桥店","北京大区","64476.9216","60505.69","2625.076","1346.1556","6.16","6354.715","932","64.92"
"2017年8月27日","20170827","HD01","广场店","华东大区","59132.6222","55870.11","1823.8","1438.7122","5.52","9081.015","1047","53.36"
"2017年8月27日","20170827","BJ01","花桥店","北京大区","51173.6711","48822.03","796.04","1555.6011","4.6","5969.641","1043","46.81"
"2017年8月28日","20170828","HD01","广场店","华东大区","64129.1827","60663.34","1884.495","1581.3477","5.4","6862.244","1114","54.46"
"2017年8月28日","20170828","BJ01","花桥店","北京大区","60207.2202","57517.87","1104.641","1584.7092","4.47","8319.619","1098","52.38"
"2017年8月29日","20170829","BJ01","花桥店","北京大区","65883.5598","62762.6","1525.353","1595.6068","4.74","7442.758","1131","55.49"
"2017年8月29日","20170829","HD01","广场店","华东大区","62885.1928","59415.94","1968.21","1501.0428","5.52","7983.404","1063","55.89"
"2017年8月30日","20170830","BJ01","花桥店","北京大区","89875.8447","85365.46","2348.899","2161.4857","5.02","9578.87","1467","58.19"
"2017年8月30日","20170830","HD01","广场店","华东大区","73308.3882","70732.33","854.542","1721.5162","3.51","8941.199","1354","52.24"
